iter	Logloss
0	0.6379411314
1	0.5927211921
2	0.5520717311
3	0.5137024374
4	0.4862967309
5	0.460030546
6	0.4304057292
7	0.4091005854
8	0.3855938771
9	0.3677312372
10	0.3517165327
11	0.3401688144
12	0.3287016469
13	0.3179535356
14	0.3072857229
15	0.298975678
16	0.2913909636
17	0.2841789884
18	0.2784032542
19	0.2705277902
20	0.2653155156
21	0.2594525542
22	0.2548931956
23	0.2505781163
24	0.2451724075
25	0.2404181841
26	0.2358110101
27	0.2317304384
28	0.2281373268
29	0.2248059874
30	0.2220993384
31	0.2194055401
32	0.2155070821
33	0.2127159037
34	0.2104738214
35	0.2075599739
36	0.2045130997
37	0.2025343558
38	0.1993088468
39	0.19734674
40	0.1954662461
41	0.193235588
42	0.1910634251
43	0.1883702524
44	0.1862229618
45	0.1847411278
46	0.182463546
47	0.1808554214
48	0.1796889513
49	0.1783902673
50	0.1765250875
51	0.1751805031
52	0.173837405
53	0.1722751801
54	0.1705588761
55	0.16902368
56	0.1670656366
57	0.1654039494
58	0.1636813592
59	0.1626929935
60	0.1613750078
61	0.1593405228
62	0.1578633347
63	0.1560986364
64	0.1535686258
65	0.1526349456
66	0.1518288562
67	0.1502382465
68	0.1492722567
69	0.1483992927
70	0.1477309769
71	0.1467487658
72	0.1452894493
73	0.1444492552
74	0.1429597682
75	0.1416092686
76	0.1402141392
77	0.1395503027
78	0.1386109661
79	0.137158854
80	0.1355979973
81	0.1340503725
82	0.1325371517
83	0.1313352391
84	0.1295492463
85	0.1289257725
86	0.1279261865
87	0.1263105538
88	0.1247524452
89	0.1239675609
90	0.1228683411
91	0.1220704008
92	0.1206795997
93	0.1197006993
94	0.118968145
95	0.1183862299
96	0.1176296854
97	0.1163960763
98	0.1154129838
99	0.114574448
