iter	Passed	Remaining
0	89	8888
1	167	8208
2	264	8547
3	368	8837
4	464	8827
5	555	8706
6	643	8549
7	722	8305
8	804	8135
9	886	7977
10	959	7761
11	1028	7542
12	1098	7352
13	1165	7156
14	1241	7035
15	1332	6995
16	1419	6928
17	1532	6979
18	1619	6906
19	1742	6970
20	1847	6950
21	1935	6862
22	2017	6755
23	2098	6646
24	2173	6520
25	2249	6402
26	2317	6266
27	2386	6135
28	2457	6015
29	2525	5893
30	2592	5771
31	2658	5648
32	2723	5529
33	2790	5416
34	2854	5301
35	2920	5192
36	2990	5092
37	3067	5004
38	3135	4904
39	3205	4807
40	3272	4708
41	3338	4610
42	3404	4513
43	3473	4421
44	3539	4325
45	3604	4231
46	3672	4141
47	3740	4052
48	3809	3965
49	3877	3877
50	3953	3798
51	4026	3716
52	4091	3628
53	4159	3543
54	4232	3463
55	4300	3378
56	4367	3294
57	4432	3210
58	4498	3125
59	4565	3043
60	4638	2965
61	4718	2892
62	4795	2816
63	4862	2735
64	4931	2655
65	4996	2574
66	5062	2493
67	5127	2413
68	5195	2334
69	5260	2254
70	5328	2176
71	5393	2097
72	5459	2019
73	5524	1941
74	5591	1863
75	5657	1786
76	5725	1710
77	5792	1633
78	5858	1557
79	5923	1480
80	5991	1405
81	6058	1329
82	6124	1254
83	6194	1179
84	6262	1105
85	6331	1030
86	6402	956
87	6469	882
88	6535	807
89	6604	733
90	6669	659
91	6734	585
92	6801	511
93	6870	438
94	6937	365
95	7003	291
96	7068	218
97	7134	145
98	7200	72
99	7272	0
